"Table 8.2 Other rates and amounts effective July 1, 2026",,,,,,,,,,
,Basic amount,Index rate,LCP rate,LCP amount,CEA,S2,T4 to V1,V1 rate,Abatement,Surtax
Federal,BPAF,0.02,0.15,750,"1,501",,,,,
AB,"22,769",0.02,,,,,,,,
BC,"13,216",0.022,,,,805,,,,
MB,BPAMB,0.021,0.15,"1,800",,,,,,
NB,"13,664",0.02,0.2,"2,000",,,,,,
NL,"15,000",0.011,,,,,,,,
NS,"11,932",0.016,0.2,"2,000",,,,,,
NT,"18,198",0.02,,,,,,,,
NU,"19,659",0.02,,,,,,,,
ON,"12,989",0.019,,,,300,0,0,,
,,,,,,,"5,818",0.2,,
,,,,,,,"7,446",0.36,,
PE,"15,000",–,,,,,,,,
QC,–,–,,,,,,,0.165,
SK,"20,381",0.02,0.175,875,,,,,,
YT,BPAYT,0.02,,,"1,501",,,,,
Outside Canada,,,,,,,,,,0.48
,,,,,,,,,,
