"Table 8.1 Rates (R, V), income thresholds (A), and constants (K, KP) effective July 1, 2026",,,,,,,,,
,,1st,2nd,3rd,4th,5th,6th,7th,8th
Federal,A,0,"58,523","117,045","181,440","258,482",,,
,R,0.14,0.205,0.26,0.29,0.33,,,
,K,0,"3,804","10,241","15,685","26,024",,,
AB,A,0,"61,200","154,259","185,111","246,813","370,220",,
,V,0.08,0.1,0.12,0.13,0.14,0.15,,
,KP,0,"1,224","4,309","6,160","8,628","12,331",,
BC,A,0,"50,363","100,728","115,648","140,430","190,405","265,545",
,V,0.0614,0.077,0.105,0.1229,0.147,0.168,0.205,
,KP,0,786,"3,606","5,676","9,061","13,059","22,884",
MB,A,0,"47,000","100,000",,,,,
,V,0.108,0.1275,0.174,,,,,
,KP,0,917,"5,567",,,,,
NB,A,0,"52,333","104,666","193,861",,,,
,V,0.094,0.14,0.16,0.195,,,,
,KP,0,"2,407","4,501","11,286",,,,
NL,A,0,"44,678","89,354","159,528","223,340","285,319","570,638","1,141,275"
,V,0.087,0.145,0.158,0.178,0.198,0.208,0.213,0.218
,KP,0,"2,591","3,753","6,943","11,410","14,263","17,117","22,823"
NS,A,0,"30,995","61,991","97,417","157,124",,,
,V,0.0879,0.1495,0.1667,0.175,0.21,,,
,KP,0,"1,909","2,976","3,784","9,283",,,
NT,A,0,"53,003","106,009","172,346",,,,
,V,0.059,0.086,0.122,0.1405,,,,
,KP,0,"1,431","5,247","8,436",,,,
NU,A,0,"55,801","111,602","181,439",,,,
,V,0.04,0.07,0.09,0.115,,,,
,KP,0,"1,674","3,906","8,442",,,,
ON,A,0,"53,891","107,785","150,000","220,000",,,
,V,0.0505,0.0915,0.1116,0.1216,0.1316,,,
,KP,0,"2,210","4,376","5,876","8,076",,,
PE,A,0,"33,928","65,820","106,890","142,520","200,000 ",,
,V,0.095,0.1347,0.166,0.1762,0.19,0.2100 ,,
,KP,0,"1,347","3,407","4,497","6,464","10,464 ",,
SK,A,0,"54,532","155,805",,,,,
,V,0.105,0.125,0.145,,,,,
,KP,0,"1,091","4,207",,,,,
YT,A,0,"58,523","117,045","181,440","500,000",,,
,V,0.064,0.09,0.109,0.128,0.15,,,
,KP,0,"1,522","3,745","7,193","18,193",,,
,,,,,,,,,
