id,category,pay_frequency,pay_periods_per_year,gross_per_period,td1_federal_claim,td1_provincial_claim,pensionable_months,ytd_pensionable_earnings,ytd_insurable_earnings,ytd_cpp_base_paid,ytd_ei_paid,expected_cpp,expected_cpp2,expected_ei,expected_federal_tax,expected_provincial_tax,expected_net_pay
ab_2026_weekly_sweep_400,income-sweep-weekly,weekly,52,400,16452,22769,12,0,0,0,0,19.8,0,6.52,3.98,0,369.7
ab_2026_weekly_sweep_600,income-sweep-weekly,weekly,52,600,16452,22769,12,0,0,0,0,31.7,0,9.78,29.86,9.65,519.01
ab_2026_weekly_sweep_800,income-sweep-weekly,weekly,52,800,16452,22769,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_1000,income-sweep-weekly,weekly,52,1000,16452,22769,12,0,0,0,0,55.5,0,16.3,81.61,39.23,807.36
ab_2026_weekly_sweep_1200,income-sweep-weekly,weekly,52,1200,16452,22769,12,0,0,0,0,67.4,0,19.56,111.6,54.25,947.19
ab_2026_weekly_sweep_1500,income-sweep-weekly,weekly,52,1500,16452,22769,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_1800,income-sweep-weekly,weekly,52,1800,16452,22769,12,0,0,0,0,103.1,0,29.34,231.46,112.56,1323.54
ab_2026_weekly_sweep_2100,income-sweep-weekly,weekly,52,2100,16452,22769,12,0,0,0,0,120.95,0,34.23,292.34,142.26,1510.22
ab_2026_weekly_sweep_2500,income-sweep-weekly,weekly,52,2500,16452,22769,12,0,0,0,0,144.75,0,40.75,385.9,181.86,1746.74
ab_2026_weekly_sweep_3000,income-sweep-weekly,weekly,52,3000,16452,22769,12,0,0,0,0,174.5,0,48.9,514.6,231.44,2030.56
ab_2026_weekly_sweep_3500,income-sweep-weekly,weekly,52,3500,16452,22769,12,0,0,0,0,204.25,0,57.05,643.3,290.84,2304.56
ab_2026_weekly_sweep_4000,income-sweep-weekly,weekly,52,4000,16452,22769,12,0,0,0,0,234,0,65.2,787.52,354.25,2559.03
ab_2026_weekly_sweep_4500,income-sweep-weekly,weekly,52,4500,16452,22769,12,0,0,0,0,263.75,0,73.35,932.53,418.6,2811.77
ab_2026_weekly_sweep_5000,income-sweep-weekly,weekly,52,5000,16452,22769,12,0,0,0,0,293.5,0,81.5,1077.54,485,3062.46
ab_2026_weekly_sweep_6000,income-sweep-weekly,weekly,52,6000,16452,22769,12,0,0,0,0,353,0,97.8,1403.5,623.6,3522.1
ab_2026_60k_daily,freq-parity-60k,daily,240,250,16452,22769,12,0,0,0,0,14.01,0,4.08,22.24,10.96,198.71
ab_2026_60k_weekly,freq-parity-60k,weekly,52,1153.85,16452,22769,12,0,0,0,0,64.65,0,18.81,102.66,50.6,917.13
ab_2026_60k_semi_monthly,freq-parity-60k,semi_monthly,24,2500,16452,22769,12,0,0,0,0,129.3,0,37.62,205.32,101.2,1834.25
ab_2026_60k_semi_monthly,freq-parity-60k,semi_monthly,24,2500,16452,22769,12,0,0,0,0,140.07,0,40.75,222.43,109.64,1987.11
ab_2026_60k_monthly,freq-parity-60k,monthly,12,5000,16452,22769,12,0,0,0,0,280.15,0,81.5,444.86,219.28,3974.21
ab_2026_120k_daily,freq-parity-120k,daily,240,500,16452,22769,12,0,0,0,0,28.88,0,8.15,72.89,35.28,354.8
ab_2026_120k_weekly,freq-parity-120k,weekly,52,2307.69,16452,22769,12,0,0,0,0,133.3,0,37.62,336.4,162.82,1637.55
ab_2026_120k_biweekly,freq-parity-120k,biweekly,26,4615.38,16452,22769,12,0,0,0,0,266.61,0,75.23,672.8,325.64,3275.1
ab_2026_120k_semi_monthly,freq-parity-120k,semi_monthly,24,5000,16452,22769,12,0,0,0,0,288.82,0,81.5,728.86,352.77,3548.05
ab_2026_120k_monthly,freq-parity-120k,monthly,12,10000,16452,22769,12,0,0,0,0,577.65,0,163,1457.73,705.55,7096.07
ab_2026_biweekly_sweep_800,income-sweep-biweekly,biweekly,26,800,16452,22769,12,0,0,0,0,39.59,0,13.04,7.96,0,739.41
ab_2026_biweekly_sweep_1200,income-sweep-biweekly,biweekly,26,1200,16452,22769,12,0,0,0,0,63.39,0,19.56,59.72,19.31,1038.02
ab_2026_biweekly_sweep_1600,income-sweep-biweekly,biweekly,26,1600,16452,22769,12,0,0,0,0,87.19,0,26.08,111.47,48.88,1326.38
ab_2026_biweekly_sweep_2000,income-sweep-biweekly,biweekly,26,2000,16452,22769,12,0,0,0,0,110.99,0,32.6,163.23,78.45,1614.73
ab_2026_biweekly_sweep_2400,income-sweep-biweekly,biweekly,26,2400,16452,22769,12,0,0,0,0,134.79,0,39.12,223.2,108.5,1894.39
ab_2026_biweekly_sweep_2800,income-sweep-biweekly,biweekly,26,2800,16452,22769,12,0,0,0,0,158.59,0,45.64,301.04,146.19,2148.54
ab_2026_biweekly_sweep_3200,income-sweep-biweekly,biweekly,26,3200,16452,22769,12,0,0,0,0,182.39,0,52.16,381.74,185.51,2398.2
ab_2026_biweekly_sweep_3600,income-sweep-biweekly,biweekly,26,3600,16452,22769,12,0,0,0,0,206.19,0,58.68,462.92,225.11,2647.1
ab_2026_biweekly_sweep_4200,income-sweep-biweekly,biweekly,26,4200,16452,22769,12,0,0,0,0,241.89,0,68.46,584.69,284.51,3020.45
ab_2026_biweekly_sweep_5000,income-sweep-biweekly,biweekly,26,5000,16452,22769,12,0,0,0,0,289.49,0,81.5,771.8,363.71,3493.5
ab_2026_monthly_sweep_2000,income-sweep-monthly,monthly,12,2000,16452,22769,12,0,0,0,0,101.65,0,32.6,51.75,0,1814
ab_2026_monthly_sweep_3000,income-sweep-monthly,monthly,12,3000,16452,22769,12,0,0,0,0,161.15,0,48.9,181.14,71.4,2537.41
ab_2026_monthly_sweep_4000,income-sweep-monthly,monthly,12,4000,16452,22769,12,0,0,0,0,220.65,0,65.2,310.53,145.34,3258.28
ab_2026_monthly_sweep_5000,income-sweep-monthly,monthly,12,5000,16452,22769,12,0,0,0,0,,,,,,
ab_2026_monthly_sweep_6500,income-sweep-monthly,monthly,12,6500,16452,22769,12,0,0,0,0,369.4,0,105.95,739.16,359.05,4926.44
ab_2026_monthly_sweep_8000,income-sweep-monthly,monthly,12,8000,16452,22769,12,0,0,0,0,458.65,0,130.4,1043.58,507.55,5859.82
ab_2026_monthly_sweep_10000,income-sweep-monthly,monthly,12,10000,16452,22769,12,0,0,0,0,,,,,,
ab_2026_monthly_sweep_12000,income-sweep-monthly,monthly,12,12000,16452,22769,12,0,0,0,0,696.65,0,195.6,1972.53,903.55,8231.67
ab_2026_monthly_sweep_15000,income-sweep-monthly,monthly,12,15000,16452,22769,12,0,0,0,0,875.15,0,244.5,2744.73,1240.52,9895.1
ab_2026_monthly_sweep_20000,income-sweep-monthly,monthly,12,20000,16452,22769,12,0,0,0,0,1172.65,0,326,4185.96,1878.3,12437.09
ab_2026_cpp2_below_ympe,cpp2-threshold,monthly,12,5500,16452,22769,12,60000,60000,3570,978,309.9,0,89.65,541.73,263.2,4295.52
ab_2026_cpp2_at_ympe,cpp2-threshold,monthly,12,6100,16452,22769,12,73200,68900,4230.45,1122.87,0,188,0.2,631.35,306.46,4973.99
ab_2026_cpp2_crossing_ympe,cpp2-threshold,monthly,12,6500,16452,22769,12,70000,68900,4165,1122.87,65.45,76,0.2,734.05,356.56,5267.74
ab_2026_cpp2_in_cpp2_zone,cpp2-threshold,monthly,12,7000,16452,22769,12,75000,68900,4230.45,1122.87,0,280,0.2,796.99,387.26,5535.55
ab_2026_cpp2_above_yampe,cpp2-threshold,monthly,12,8500,16452,22769,12,83300,68900,1122.87,1077.48,,,,,,
ab_2026_ei_below_max,ei-max,monthly,12,4000,16452,22769,12,42016.81,40000,2500,652,220.65,0,65.2,310.53,145.34,3258.28
ab_2026_ei_near_max,ei-max,monthly,12,5500,16452,22769,12,60000,60000,2500,978,309.9,0,89.65,541.73,263.2,4295.52
ab_2026_ei_at_max,ei-max,monthly,12,5500,16452,22769,12,65000,65000,2500,1059.5,309.9,0,63.57,539.73,262.06,4324.74
ab_2026_ei_exceeded_max,ei-max,monthly,12,5500,16452,22769,12,70008.4,68900,4165,1122.87,65.45,36.34,0.2,537.18,260.52,4600.31
