id,category,pay_frequency,pay_periods_per_year,gross_per_period,td1_federal_claim,td1_provincial_claim,pensionable_months,ytd_pensionable_earnings,ytd_insurable_earnings,ytd_cpp_base_paid,ytd_ei_paid,expected_cpp,expected_cpp2,expected_ei,expected_federal_tax,expected_provincial_tax,expected_net_pay
ab_2026_weekly_sweep_400,income-sweep-weekly,weekly,52,400,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_600,income-sweep-weekly,weekly,52,600,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_800,income-sweep-weekly,weekly,52,800,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_1000,income-sweep-weekly,weekly,52,1000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_1200,income-sweep-weekly,weekly,52,1200,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_1500,income-sweep-weekly,weekly,52,1500,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_1800,income-sweep-weekly,weekly,52,1800,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_2100,income-sweep-weekly,weekly,52,2100,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_2500,income-sweep-weekly,weekly,52,2500,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_3000,income-sweep-weekly,weekly,52,3000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_3500,income-sweep-weekly,weekly,52,3500,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_4000,income-sweep-weekly,weekly,52,4000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_4500,income-sweep-weekly,weekly,52,4500,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_5000,income-sweep-weekly,weekly,52,5000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_weekly_sweep_6000,income-sweep-weekly,weekly,52,6000,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_60k_daily,freq-parity-60k,daily,240,250.0,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_60k_weekly,freq-parity-60k,weekly,52,1153.85,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_60k_biweekly,freq-parity-60k,biweekly,26,2307.69,16452.0,22769.0,12,0,0,0,0,,,,,,
ab_2026_60k_semi_monthly,freq-parity-60k,semi_monthly,24,2500.0,16452.0,22769.0,12,0,0,0,0,,,,,,
